lake_name,age_CE,summer_temperature,winter_temperature,summer_precipitation,winter_precipitation,layer,detrended_thickness,record_ID
Lake DV09,1803,0.07519938151045835,-34.264430745442695,36.74658075968424,9.403845628102621,varve,-0.37699999999999995,Lake DV09 - varve
Lake DV09,1804,0.32516886393233335,-34.05021260579426,37.290618896484375,10.203447977701822,varve,-0.429,Lake DV09 - varve
Lake DV09,1805,0.05502726236983335,-34.138449096679665,42.50072224934896,9.49760659535726,varve,-0.33499999999999996,Lake DV09 - varve
Lake DV09,1806,0.5593302408854584,-33.68450012207029,42.175150553385414,10.707175890604654,varve,-0.003,Lake DV09 - varve
Lake DV09,1807,0.08935953776045835,-34.20136617024738,38.51926294962565,10.127443313598633,varve,0.05800000000000005,Lake DV09 - varve
Lake DV09,1808,0.35775146484377274,-33.06498311360676,40.77256647745768,10.485508918762207,varve,-0.19499999999999995,Lake DV09 - varve
Lake DV09,1809,-0.14586995442704165,-34.93174845377601,38.17786534627279,9.332692782084147,varve,0.03699999999999992,Lake DV09 - varve
Lake DV09,1810,-0.05483601888016665,-34.36603393554685,37.38377253214518,10.263002713521322,varve,0.31599999999999995,Lake DV09 - varve
Lake DV09,1811,-0.18704833984372726,-34.71423441569007,39.363625844319664,9.483237902323404,varve,0.569,Lake DV09 - varve
Lake DV09,1812,-0.19724121093747726,-34.118241373697884,34.7096061706543,9.741464296976725,varve,0.19899999999999995,Lake DV09 - varve
Lake DV09,1813,0.25897623697920835,-34.80688578287757,39.054578145345054,9.77518399556478,varve,1.712,Lake DV09 - varve
Lake DV09,1814,0.30194498697920835,-33.804708862304665,41.01137034098307,9.942241668701172,varve,0.16100000000000003,Lake DV09 - varve
Lake DV09,1815,-0.36951293945310226,-33.14299112955726,37.69560750325521,11.287219047546387,varve,0,Lake DV09 - varve
Lake DV09,1816,-0.9029296874999773,-36.437582397460915,38.35079447428385,10.07113265991211,varve,-0.03900000000000003,Lake DV09 - varve
Lake DV09,1817,-0.8735005696614166,-36.110622151692695,40.93909454345703,9.233880678812662,varve,-0.14200000000000002,Lake DV09 - varve
Lake DV09,1818,-0.09898478190103788,-34.669332885742165,38.551934560139976,9.379146099090576,varve,-0.10099999999999998,Lake DV09 - varve
Lake DV09,1819,-0.5732889811197879,-32.82535909016926,39.604559580485024,10.032193183898926,varve,-0.01,Lake DV09 - varve
Lake DV09,1820,0.10399780273439774,-34.212540690104134,37.47073872884115,10.48426087697347,varve,-0.189,Lake DV09 - varve
Lake DV09,1821,0.04957478841146212,-34.35077006022132,40.05422719319662,11.141999880472818,varve,-0.256,Lake DV09 - varve
Lake DV09,1822,-0.027054850260412877,-33.28483174641926,40.96485265096029,10.138160705566406,varve,-0.02799999999999997,Lake DV09 - varve
Lake DV09,1823,-0.47420857747391665,-34.953573608398415,44.024163564046226,10.518291155497232,varve,0.27899999999999997,Lake DV09 - varve
Lake DV09,1824,0.018904622395837123,-34.75426839192707,38.71842829386393,9.962172826131185,varve,0.01,Lake DV09 - varve
Lake DV09,1825,-0.21727091471353788,-34.8672190348307,43.35818608601888,10.989657719930014,varve,0.7910000000000001,Lake DV09 - varve
Lake DV09,1826,-0.11907552083329165,-33.23088684082029,39.76129023234049,10.638216336568197,varve,0.13399999999999995,Lake DV09 - varve
Lake DV09,1827,-0.19773966471353788,-34.81466776529945,39.20468521118164,9.74409039815267,varve,-0.062,Lake DV09 - varve
Lake DV09,1828,0.6716145833333371,-33.777858479817695,36.921756744384766,9.109393437703451,varve,0.327,Lake DV09 - varve
Lake DV09,1829,0.14561360677083712,-33.87241719563801,36.52728525797526,10.795243581136068,varve,-0.21999999999999997,Lake DV09 - varve
Lake DV09,1830,0.4886922200520871,-32.53033040364582,35.285162607828774,10.276899973551432,varve,0.22100000000000009,Lake DV09 - varve
Lake DV09,1831,-0.22534790039060226,-34.51915079752601,38.85053253173828,8.716164588928223,varve,0.31799999999999995,Lake DV09 - varve
Lake DV09,1832,-0.42827962239579165,-35.77282816569007,36.0803108215332,9.907025973002115,varve,0.1100000000000001,Lake DV09 - varve
Lake DV09,1833,-0.44884847005204165,-35.47229105631507,40.31887690226237,10.248298009236654,varve,-0.10300000000000004,Lake DV09 - varve
Lake DV09,1834,-0.41994832356766665,-36.11083068847654,39.2599983215332,10.045515696207682,varve,-0.23300000000000004,Lake DV09 - varve
Lake DV09,1835,-0.46129964192704165,-34.17273050944007,41.73535410563151,9.778558095296225,varve,-0.29800000000000004,Lake DV09 - varve
Lake DV09,1836,-1.1260030110676666,-35.34580586751301,37.38597869873047,10.107070287068685,varve,0.6509999999999999,Lake DV09 - varve
Lake DV09,1837,-0.4202433268229129,-34.348165893554665,39.92291514078776,9.994677861531576,varve,-0.001,Lake DV09 - varve
Lake DV09,1838,-0.5362406412760379,-35.375992838541634,42.462090810139976,9.996323267618815,varve,0,Lake DV09 - varve
