lake_name,layer,age_CE,tresh_pos_z5,tresh_neg_z2_5,thickness,mm,mad,scaled_magnitude,scaled_magnitude_sign,record_label
Lake C2,varve,1771,1.7853999999999997,0.2539000000000001,1.9355,0.7644,0.20419999999999994,5.735063663075418,positive,Lake C2 - varve
Lake DV09,varve,1858,0.7649999999999998,0.22500000000000014,5.867,0.405,0.07199999999999995,75.86111111111116,positive,Lake DV09 - varve
Lake DV09,varve,1849,1.1159999999999999,0.13350000000000012,1.585,0.461,0.13099999999999995,8.580152671755728,positive,Lake DV09 - varve
Lake DV09,varve,1813,1.9440000000000004,0.046499999999999875,2.391,0.679,0.25300000000000006,6.76679841897233,positive,Lake DV09 - varve
Lake DV09,varve,1801,2.2289999999999996,-0.08099999999999985,5.441,0.689,0.30799999999999994,15.42857142857143,positive,Lake DV09 - varve
Lake DV09,varve,1798,1.9939999999999998,-0.09099999999999997,2.694,0.604,0.27799999999999997,7.517985611510792,positive,Lake DV09 - varve
Lake DV09,varve,1797,2.5039999999999996,-0.21849999999999992,2.78,0.689,0.36299999999999993,5.760330578512397,positive,Lake DV09 - varve
Lake DV09,varve,1790,1.1109999999999998,0.08350000000000007,11.314,0.426,0.13699999999999996,79.47445255474454,positive,Lake DV09 - varve
Lake DV09,varve,1787,0.7950000000000002,0.20249999999999999,2.152,0.4,0.07900000000000001,22.177215189873415,positive,Lake DV09 - varve
Lake DV09,varve,1773,1.04,0.08000000000000002,2.475,0.4,0.128,16.2109375,positive,Lake DV09 - varve
Lake DV09,varve,1766,0.7160000000000001,0.13849999999999998,1.673,0.331,0.07700000000000001,17.428571428571427,positive,Lake DV09 - varve
Lehmilampi,varve,1826,1.54,0.565,0.43,0.89,0.13,-3.5384615384615383,negative,Lehmilampi - varve
Lehmilampi,varve,1805,1.44,0.465,0.38,0.79,0.13,-3.153846153846154,negative,Lehmilampi - varve
Lehmilampi,varve,1781,1.1399999999999997,0.54,1.14,0.74,0.07999999999999996,5.000000000000002,positive,Lehmilampi - varve
Lehmilampi,varve,1780,1.1399999999999997,0.54,0.53,0.74,0.07999999999999996,-2.625000000000001,negative,Lehmilampi - varve
Lehmilampi,varve,1776,0.9900000000000002,0.6149999999999999,0.58,0.74,0.050000000000000044,-3.199999999999998,negative,Lehmilampi - varve
Lehmilampi,varve,1775,0.9600000000000002,0.5849999999999999,0.56,0.71,0.050000000000000044,-2.9999999999999956,negative,Lehmilampi - varve
Linnévatnet,varve,1866,2.422,-0.1955,6.667,0.677,0.34900000000000003,17.163323782234958,positive,Linnévatnet - varve
Linnévatnet,varve,1865,3.146000000000001,-0.19150000000000023,16.159,0.921,0.44500000000000006,34.24269662921348,positive,Linnévatnet - varve
Linnévatnet,varve,1838,1.237,0.12699999999999995,2.043,0.497,0.14800000000000002,10.445945945945946,positive,Linnévatnet - varve
Linnévatnet,varve,1825,1.2160000000000002,0.10599999999999993,1.82,0.476,0.14800000000000002,9.08108108108108,positive,Linnévatnet - varve
Linnévatnet,varve,1818,1.227,0.11699999999999994,4,0.487,0.14800000000000002,23.736486486486484,positive,Linnévatnet - varve
Linnévatnet,varve,1812,2.2429999999999994,-0.21699999999999986,5.08,0.603,0.32799999999999996,13.649390243902442,positive,Linnévatnet - varve
Linnévatnet,varve,1783,6.602,-0.38050000000000006,7.408,1.947,0.931,5.865735767991407,positive,Linnévatnet - varve
