lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,anomaly,value_of_anomaly,unit4anomaly
Kassjön,63.92566,20.00977,1901,varve,0.89208984375,author,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",NA,NA,Summer precipitation in 1816,96.79647467689014,%
Kassjön,63.92566,20.00977,1901,varve,0.89208984375,author,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",NA,NA,Winter temperature in 1816/1817,1.2641718395472594,°C
Kassjön,63.92566,20.00977,1901,varve,0.89208984375,author,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",NA,NA,Winter precipitation in 1816/1817,97.32828151216282,%
Kenai,60.3880556,-149.6011111,2012,varve,1.29,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",United States,North America,Summer temperature in 1816,0.469733713483663,°C
Kenai,60.3880556,-149.6011111,2012,varve,1.29,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",United States,North America,Summer precipitation in 1816,83.81580304934371,%
Kenai,60.3880556,-149.6011111,2012,varve,1.29,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",United States,North America,Winter temperature in 1816/1817,-0.1448918207250358,°C
Kenai,60.3880556,-149.6011111,2012,varve,1.29,GSA,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",United States,North America,Winter precipitation in 1816/1817,83.72183881641038,%
Kuninkaisenlampi,63.98333,28.02333,1998,light layer,0.16,author,"Saarni, S., Muschitiello, F., Weege, S., Brauer, A., Saarinen, T., 2016. A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi. Quaternary Science Reviews 154, 100–110. https://doi.org/10.1016/j.quascirev.2016.10.019
",Finland,Europe,Summer temperature in 1816,0.49890579878297103,°C
Kuninkaisenlampi,63.98333,28.02333,1998,light layer,0.16,author,"Saarni, S., Muschitiello, F., Weege, S., Brauer, A., Saarinen, T., 2016. A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi. Quaternary Science Reviews 154, 100–110. https://doi.org/10.1016/j.quascirev.2016.10.019
",Finland,Europe,Summer precipitation in 1816,85.87965616364734,%
Kuninkaisenlampi,63.98333,28.02333,1998,light layer,0.16,author,"Saarni, S., Muschitiello, F., Weege, S., Brauer, A., Saarinen, T., 2016. A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi. Quaternary Science Reviews 154, 100–110. https://doi.org/10.1016/j.quascirev.2016.10.019
",Finland,Europe,Winter temperature in 1816/1817,1.4780503578311937,°C
Kuninkaisenlampi,63.98333,28.02333,1998,light layer,0.16,author,"Saarni, S., Muschitiello, F., Weege, S., Brauer, A., Saarinen, T., 2016. A late Holocene record of solar-forced atmospheric blocking variability over Northern Europe inferred from varved lake sediments of Lake Kuninkaisenlampi. Quaternary Science Reviews 154, 100–110. https://doi.org/10.1016/j.quascirev.2016.10.019
",Finland,Europe,Winter precipitation in 1816/1817,98.83459849206328,%
Kusai,35.6916667,92.8333333,2009,light layer,2.6222950819672133,author,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",China,Asia,Summer temperature in 1816,-0.35915714679379107,°C
Kusai,35.6916667,92.8333333,2009,light layer,2.6222950819672133,author,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",China,Asia,Summer precipitation in 1816,79.15458765609851,%
Kusai,35.6916667,92.8333333,2009,light layer,2.6222950819672133,author,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",China,Asia,Winter temperature in 1816/1817,-1.6200146564949307,°C
Kusai,35.6916667,92.8333333,2009,light layer,2.6222950819672133,author,"Zhang, Q., Liu, X., Feng, S., 2022. Factors Influencing the Seasonal Flux of the Varved Sediments of Kusai Lake on the Northern Tibetan Plateau During the Last ∼2280 years. Front. Earth Sci. 9. https://doi.org/10.3389/feart.2021.823258",China,Asia,Winter precipitation in 1816/1817,126.71453291792336,%
Lake C2,82.827593,-77.985993,1987,varve,0.8004,VARDA,"Lamoureux, S. & Bradley, R., 1996. A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada. Journal of Paleolimnology, 16(2). Available at: http://dx.doi.org/10.1007/BF00176939.",NA,NA,Summer temperature in 1816,-0.5200688831089906,°C
Lake C2,82.827593,-77.985993,1987,varve,0.8004,VARDA,"Lamoureux, S. & Bradley, R., 1996. A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada. Journal of Paleolimnology, 16(2). Available at: http://dx.doi.org/10.1007/BF00176939.",NA,NA,Summer precipitation in 1816,103.29048745551064,%
Lake C2,82.827593,-77.985993,1987,varve,0.8004,VARDA,"Lamoureux, S. & Bradley, R., 1996. A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada. Journal of Paleolimnology, 16(2). Available at: http://dx.doi.org/10.1007/BF00176939.",NA,NA,Winter temperature in 1816/1817,-0.7800335773933966,°C
Lake C2,82.827593,-77.985993,1987,varve,0.8004,VARDA,"Lamoureux, S. & Bradley, R., 1996. A late Holocene varved sediment record of environmental change from northern Ellesmere Island, Canada. Journal of Paleolimnology, 16(2). Available at: http://dx.doi.org/10.1007/BF00176939.",NA,NA,Winter precipitation in 1816/1817,96.93466056755712,%
